Nome;Rondônia;Acre;Amazonas;Roraima;Pará;Amapá;Tocantins;Maranhão;Piauí;Ceará;Rio Grande do Norte;Paraíba;Pernambuco;Alagoas;Sergipe;Bahia;Minas Gerais;Espirito Santo;Rio de Janeiro;São Paulo;Paraná;Santa Catarina;Rio Grande do Sul;Mato Grosso do Sul;Mato Grosso;Goiás;Distrito Federal;(vazio);Total Geral
VITORIA;2739;1550;6941;939;14079;1313;2824;9797;4559;23797;6656;7655;17078;6694;4729;21309;35633;4068;34587;88527;14662;9246;23451;4499;4980;11987;4705;;369004
LARISSA;2261;973;6075;744;11772;1125;1769;9125;3272;12922;5094;6141;12927;5557;3822;23602;39673;6892;36048;97168;19787;12230;16850;4810;4223;11099;5884;;361845
CLAUDIA;1876;586;4183;476;9044;715;1255;6415;2810;9873;3518;4039;13350;4096;2882;21700;42924;5953;53315;92276;16572;10833;27542;4031;4044;9399;5787;;359494
BEATRIZ;2252;898;5846;612;11040;1128;1927;7705;2841;10481;3223;4469;11455;4071;3133;24925;27853;5585;39493;122579;18011;11049;12248;4420;4099;9279;5729;;356351
LUANA;2934;1278;6494;687;13674;1219;2748;11256;5313;14708;6181;7014;15054;5439;3623;25138;34390;6792;30028;75324;23204;13887;23149;5289;5868;10452;5157;;356300
RITA;1547;644;3771;543;10192;627;2018;11905;7472;31374;13731;14293;16212;5077;3004;35894;37034;6160;32700;73841;10456;7535;13057;2547;2903;6689;4326;;355552
SONIA;2412;568;2983;348;7729;640;1477;5091;2148;4920;2849;3256;10939;2939;2284;15953;41937;7169;50758;108401;22745;12582;21348;5200;4774;9883;3886;;355219
CLAUDIO;2111;650;3744;460;10151;748;1428;7222;2711;9364;3555;4189;13472;3840;2387;22440;37576;5121;43820;95919;19669;11226;27115;4409;4685;9401;4618;;352031
MATHEUS;1871;608;4082;563;8153;791;2045;4567;2122;6722;3757;4653;9654;2914;2608;15990;35819;6192;45730;106909;22584;11457;20373;5022;5533;12820;6895;;350434
RENATA;1891;475;4000;471;10141;830;1508;5083;2433;10931;4295;5359;16262;4338;2646;17061;41478;6616;45473;102956;15716;7929;15552;4058;3835;10479;5185;;347001
THIAGO;1982;976;6259;768;11338;836;2307;7665;2839;8598;4102;5617;12642;4169;2843;14626;35894;7349;47086;98414;18192;9967;10062;4911;5234;11997;7064;;343737
ELIANE;3514;991;4530;730;11600;1067;2086;10232;4397;10503;4109;7065;18859;6829;2575;16568;35146;6148;35801;63022;29223;16046;23362;5667;6849;11500;4749;;343168
JOSEFA;1151;350;1289;240;3622;259;1594;5504;5886;16976;12713;34822;69546;27775;26043;35216;5767;855;13604;60108;6584;857;892;2564;2180;3924;2285;;342606
SIMONE;2792;744;4016;512;10299;846;1728;5308;2713;6857;3155;5173;14200;4708;3319;21998;37179;6149;38674;84406;22440;14985;25029;3749;4684;10715;4121;;340499
GERALDO;2546;412;2504;336;4890;230;1271;3047;2170;10715;6743;10824;13013;3742;1602;12905;125868;7710;22097;63172;12046;4113;5106;2809;3952;12595;3939;;340357
ADRIANO;2956;1021;6965;717;14127;1337;2106;10370;3691;11751;5075;7688;17840;6585;4147;25176;29331;5357;26060;79060;21663;13461;19296;4828;5561;8620;3526;;338315
LUCIANO;2223;785;4183;428;9252;631;1918;7374;3893;10923;4773;8119;19536;7510;3744;28306;36722;7336;31089;70804;17465;11581;25507;4348;4919;9952;4171;;337492
JULIO;2433;876;5749;585;7911;680;1896;8288;3775;9841;4488;4483;11792;3729;2673;16662;44069;6495;38741;81010;20989;11287;23074;4998;5038;10308;4160;;336030
NATALIA;2240;686;3795;639;9740;801;1992;10093;3322;13109;3820;4990;14237;3750;2089;14271;40286;5934;32269;97169;16350;9129;20048;4210;4190;10690;5477;;335326
RENATO;2150;663;4796;589;11373;882;2014;6227;3405;9176;3756;4369;12189;2859;1865;17884;38008;7241;38234;93296;15935;9943;18035;4359;4341;10910;5036;;329535
CRISTIANE;2475;630;5017;525;10020;985;1542;7330;3423;8679;2743;3408;12662;4168;3639;24734;30348;4495;38160;82131;20975;13557;23086;5379;5346;8940;4393;;328790
CARLA;1861;538;5827;641;13561;1210;1538;9786;4160;13816;5275;4772;16390;5697;4475;22992;33478;5874;42986;61687;14819;9712;25766;3285;3894;8468;4176;;326684
DEBORA;2551;969;6088;695;11279;970;1785;6775;2890;9420;4571;4213;12769;3575;2652;16082;36390;5652;29333;81001;18204;11529;20608;3826;4734;10144;5242;;313947
ALEX;2455;930;5687;693;13473;1384;1696;6533;2823;7748;3435;4999;12293;4894;3461;26862;29983;5106;31865;79166;16336;9338;17719;4566;5130;9038;3923;;311536
ROSANGELA;2810;790;3790;444;9285;754;1220;6269;2626;7834;2913;4195;11714;4303;2927;18829;34164;6440;36804;82265;22365;10173;16214;5210;5336;7534;3681;;310889
JAQUELINE;3129;1066;4617;526;11160;996;1871;6146;3376;8251;3248;5498;13879;5252;2671;25781;29600;5448;28858;70731;21050;13474;19321;4738;5226;9143;4059;;309115
ROSA;2239;1140;4944;583;13729;769;1977;12999;8503;16103;2935;5444;10662;3913;2142;13041;28196;4916;22169;76406;22071;11335;20797;4883;4493;7432;3363;;307184
VINICIUS;1576;373;2629;380;5313;612;1173;4165;1612;4934;2514;3093;8270;2202;2266;15646;33803;6118;30387;103978;20309;11100;21239;4279;3687;8157;5007;;304822
DANIELA;1660;659;3019;297;7240;624;2431;5192;3002;5002;2129;2880;10140;4832;3475;27089;37313;4080;16513;93821;11668;14145;25376;3030;3482;10572;4639;;304310
APARECIDA;2493;226;945;88;1700;64;946;1066;767;6401;1434;1888;4846;2393;1328;6575;51004;3036;11451;144150;28423;2072;623;7101;6011;14843;2150;;304024
MARLENE;2775;625;3000;457;7357;593;1601;5334;2893;6159;2671;4011;11523;3687;2049;19570;38219;7418;30997;67412;22383;15282;24512;3896;4852;9257;3357;;301890
TEREZINHA;2002;814;2990;281;7510;397;1749;6965;1617;12524;6616;7165;10337;2525;2381;13250;44113;4979;16443;58228;30204;20386;26985;2790;4295;8661;2830;;299037
RAIMUNDA;2786;5195;21972;1601;41561;3070;6080;52239;22085;50382;8041;4163;4801;588;2517;18862;12223;592;6574;17864;1116;178;131;642;1634;5719;4684;;297300
ROGERIO;2265;657;3450;456;8747;811;1815;5786;2455;7128;2441;2959;9043;2540;1650;17462;33219;6537;31115;86246;15873;9996;18740;3666;4422;10153;3964;;293596
SAMUEL;2345;1325;7160;821;12013;846;2716;9632;4914;15355;3969;5003;11713;4234;2384;21515;40719;5323;21723;62163;13060;7788;12709;3338;3895;11140;5440;;293243
